지번주소,지붕코드명,구조코드명,구 이름,건물명,건축면적(㎡),지상층수,연면적(㎡),에너지절감율,사용승인일,통합용도명,위도,경도,동 이름,2401 탄소 예측량,건축면적(㎡)_y,지상층수,지하층수,연면적(㎡)_y,그린리모델링진행,사용승인일_y,연식,작년 탄소 배출량 월평균,탄소/연면적,주변 평균,사용승인 연도
서울특별시 강서구 화곡동 29-187,(철근)콘크리트,철근콘크리트구조,강서구,신나는어린이집,101.27,3,296.34,0,20151106,어린이집,37.54635823,126.8491243,화곡동,38.324223,101.27,3,0,296.34,미진행,20151106,9,1.203580408,0.004061485,0.004851794,2015
서울특별시 강서구 화곡동 56-369,(철근)콘크리트,철근콘크리트구조,강서구,구립하늘마음어린이집,120.52,3,328.59,0,20191217,어린이집,37.53900898,126.8514134,화곡동,24.25722,120.52,3,0,328.59,미진행,20191217,5,1.82698214,0.005560066,0.004851794,2019
서울특별시 강서구 화곡동 95-94,(철근)콘크리트,철근콘크리트구조,강서구,구립우장숲어린이집,102.68,4,439.86,0,20101110,어린이집,37.54645063,126.8439641,화곡동,1.4337941,102.68,4,1,439.86,미진행,20101110,14,1.83418669,0.004169933,0.004851794,2010
서울특별시 강서구 화곡동 470-5,기타지붕,철근콘크리트구조,강서구,가람어린이집,95.39,4,312.35,0,20000127,어린이집,37.53605104,126.8565447,화곡동,1.592432,95.39,4,0,312.35,미진행,20000127,24,0.983599013,0.003149028,0.004851794,2000
서울특별시 강서구 화곡동 871-3,(철근)콘크리트,철근콘크리트구조,강서구,해다미어린이집,214.66,3,590.04,0,20051014,어린이집,37.53165029,126.8533966,화곡동,11.673257,214.66,3,0,590.04,미진행,20051014,19,2.979074276,0.005048936,0.004851794,2005
서울특별시 강서구 화곡동 1042-5,(철근)콘크리트,철근콘크리트구조,강서구,구립아이나무어린이집,115.97,3,295.71,0,20191212,어린이집,37.54139987,126.8335759,화곡동,24.008532,115.97,3,0,295.71,미진행,20191212,5,1.548402882,0.005236221,0.004851794,2019
서울특별시 강서구 화곡동 1170,(철근)콘크리트,철근콘크리트구조,강서구,우장산역 해링턴 타워,0,2,228.7825,0,20210903,도서관,37.54616924,126.8357832,화곡동,76.96707,3425.89,37,7,36495.2601,미진행,20210903,3,0.289541497,7.93E-06,0.004851794,2021
서울특별시 강서구 가양동 187-6,(철근)콘크리트,철근콘크리트구조,강서구,가양어린이집,118.69,3,474.76,0,19901218,어린이집,37.56989947,126.8408928,가양동,29.415585,118.69,3,1,474.76,미진행,19901218,34,1.916051003,0.004035831,0.004993883,1990
서울특별시 강서구 마곡동 734,(철근)콘크리트,철근콘크리트구조,강서구,마곡엠밸리1단지,648.48,2,902.89,0,20140619,경로당,37.56834441,126.81845,마곡동,362.64835,4102.61,59,6,36762.92,미진행,20140619,10,7.177659382,0.000195242,0.00314512,2014
서울특별시 강서구 마곡동 790-7,(철근)콘크리트,철근콘크리트구조,강서구,마곡 어린이집,180.49,3,494.53,0,20200306,어린이집,37.56185601,126.836077,마곡동,6.401078,180.49,3,0,494.53,미진행,20200306,4,2.124492568,0.004295983,0.00314512,2020
